"1. Are you a: ( Check as many as apply)","2. Actualment estàs estudiant / treballant / vivint a: ( Currently you are studying / working / living in: )","2.a. Si has seleccionat un altra, si-us-plau, especifica: (. If you selected Other, please specify: )","3. Quin són els ingressos familiars anuals? ( What is your annual household income? )","4. Quin és el màxim nivell acadèmic que has assolit? ( What is the highest degree or level of education you have completed? )","5. Avalua del 1 al 5 sobre els efectes que tindria la setmana de quatre dies per als estudians. 1 completament negatiu a 5 completament beneficiós. ( Please rate on scale from 1 to 5 what the effects of a Four-Day School week would be on Students? 1 (negative effect) to 5 ( maximum benefit) )","5.1. How would it affect the students academically (Com afectaria acadèmicament als estudiants)","5.2. The effects of a longer school day (Els efectes d'una jornada escolar més llarga)","5.3. School activities/ extra-curriculum (using the extra day off)/(Activitats escolars/extraescolars (aprofitant el dia de descans adicional))","5.4. Student safety ( Salvaguarda dels estudiants)","5.5. Students-wellbeing ( Benestar dels estudiants)","5.6. Attendance ( Assistència)","5.7. Students Outcomes (more time for studying and tutoring)( Resultats acadèmics)","6. Avalua els efectes de la implementació de la setmana de quatre dies per als pares/ famílies. 1 completament negatiu a 5 completament positiu. (. Please rate the effects of moving to a Four-Day School Week for parents/ families. 1 (negative effect) to 5 ( maximum benefit) )","6.1. Efectes econòmics ( transport escolar, Serveis de menjador,... ). ( Financial effects for parents / families (transportation, food services, utilities bills...) =","6.2. Efectes medioambientals ( Environmental effects)","6.3. Afectació a la vida familiar ( Effects on family life )","6.4. Atenció i cure dels infants ( Childcare issues )","7. Avalua els posibles efectes de la setmana de quatre dies tindrien els professors/escola. 1 negatius efectes a 5 màxim beneficis. ( Please rate effects of a Four-Day week would be on teachers/School. 1 (negative effect) to 5 ( maximum benefit) )","7.1. Cost financed per a les escoles ( Transports, neteja, Serveis, personal administrate,..) ( Financial cost for schools (transportation, food services, utilities bill))","7.2. Gestió del temps del professorat ( Time management of staff )","7.3. Recruitment of staff","7.4. Work-life balance","7.5. Salary","8. Which key stage would be more suitable the Four-Day School Week?","9. Would you agree if the next academic year implemented a four-day week?","10. Comments? ( comentaris)"
"Student ( More 18 years old ) ( Studiants major d'edat)","Catalunya",,"Prefer not to say ( prefereixo no dir-ho)","A-Level ( Batxillerat)",,"4","2","4","4","4","4","4",,"4","3","3","2",,"4","2","3","4","2","KS3 ( ESO),KS4 (ESO),KS5 (A-Level) ( Batxillerat),College (Universitat)","Completely agree ( completament d'acord)",
"Other ( altres )","Catalunya",,"Less than £25,000 ( Menys de €25,000)","Bachelor's Degree (Títol universitari)",,"3","1","5","3","4","4","3",,"1","3","2","1",,"3","5","5","5","3","KS5 (A-Level) ( Batxillerat),College (Universitat)","Somewhat agree ( bastant a favor)",
"Other ( altres )","Catalunya",,"£25,000 - £50,000 ( €25,000 - €50,000)","A-Level ( Batxillerat)",,"3","2","4","3","4","2","4",,"2","4","2","3",,"4","5","3","4","4","KS5 (A-Level) ( Batxillerat)","Somewhat agree ( bastant a favor)",
"Parent Guardian ( Pares/ tutors)","Catalunya",,"More than £50,000 ( Més de €50,000)","College ( Grau mitjà)",,"4","4","3","4","4","3","5",,"4","3","4","3",,"4","4","3","4","4","KS3 ( ESO),KS4 (ESO)","Neither agree not disagree ( indiferent)",
"Community Member ( Membres de la comunitat)","England ( Anglaterra)",,"£25,000 - £50,000 ( €25,000 - €50,000)","A-Level ( Batxillerat)",,"3","3","2","3","3","2","3",,"3","3","2","3",,"3","2","3","2","3","KS3 ( ESO)","Somewhat disagree ( una mica en desacord)",
"Parent Guardian ( Pares/ tutors)","Catalunya",,"Prefer not to say ( prefereixo no dir-ho)","College ( Grau mitjà)",,"3","3","3","3","3","3","3",,"3","3","3","3",,"3","3","3","3","3","College (Universitat)","Completely disagree ( completament en contra)",
"Parent Guardian ( Pares/ tutors)","Catalunya",,"£25,000 - £50,000 ( €25,000 - €50,000)","GCSE (ESO)",,"3","3","2","3","4","4","3",,"3","2","2","2",,"2","2","1","2","2","College (Universitat)","Somewhat disagree ( una mica en desacord)",
"Parent Guardian,Staff Member Teachers ( Members del personal/professors)","Pais Valencia",,"Less than £25,000 ( Menys de €25,000)","Master's Degree ( Grau en Màster)",,"3","2","4","3","3","3","3",,"3","3","2","2",,"3","3","3","3","3",,"Neither agree not disagree ( indiferent)",
"Parent Guardian ( Pares/ tutors)","Catalunya",,"£25,000 - £50,000 ( €25,000 - €50,000)","Master's Degree ( Grau en Màster)",,"5","4","5","5","5","5","5",,"5","5","5","5",,"5","5","5",,"4","KS5 (A-Level) ( Batxillerat),College (Universitat)","Completely agree ( completament d'acord)",
"Parent Guardian,Staff Member Teachers ( Members del personal/professors)","Catalunya",,"£25,000 - £50,000 ( €25,000 - €50,000)","Bachelor's Degree (Títol universitari)",,"2","2","2","3","3","4","3",,"3","3","1","1",,"3","5","5","5","3","College (Universitat)","Completely disagree ( completament en contra)",
"Parent Guardian ( Pares/ tutors)","Catalunya",,"Prefer not to say ( prefereixo no dir-ho)","Prefer not to say ( prefereixo no dir-ho)",,"1","1","3","3","3","1","2",,"1","3","1","1",,"3","3","3","3","1","College (Universitat)","Completely disagree ( completament en contra)",
"Parent Guardian ( Pares/ tutors)","Pais Valencia",,"Less than £25,000 ( Menys de €25,000)","A-Level ( Batxillerat)",,"4","4","4","3","3","4","3",,"4","3","3","3",,"3","2",,"2","3","College (Universitat)","Somewhat disagree ( una mica en desacord)",
"Parent Guardian ( Pares/ tutors)","Catalunya",,"£25,000 - £50,000 ( €25,000 - €50,000)","Bachelor's Degree (Títol universitari)",,,,,,,,"4",,,,,"4",,,,,,"4","KS3 ( ESO),KS4 (ESO),KS5 (A-Level) ( Batxillerat),College (Universitat)","Completely agree ( completament d'acord)",
"Staff Member Teachers ( Members del personal/professors)","Catalunya",,"Prefer not to say ( prefereixo no dir-ho)","Bachelor's Degree (Títol universitari)",,"5","4","5","3","5","4","4",,"2","4","4","3",,"5","4","4","4","3","KS3 ( ESO),KS4 (ESO)","Completely disagree ( completament en contra)",
"Parent Guardian ( Pares/ tutors)","England ( Anglaterra)",,"More than £50,000 ( Més de €50,000)","Master's Degree ( Grau en Màster)",,"4","5","4","4","5","4","4",,"4","4","5","4",,"2","5","4","2","4","KS5 (A-Level) ( Batxillerat),College (Universitat)","Somewhat agree ( bastant a favor)",
"Other ( altres )","Catalunya",,"Prefer not to say ( prefereixo no dir-ho)","Bachelor's Degree (Títol universitari)",,"4","3","5","4","5","5","4",,"5","5","4","4",,"5","5","4","5","3","College (Universitat)","Somewhat agree ( bastant a favor)",
"Other ( altres )","Catalunya",,"Prefer not to say ( prefereixo no dir-ho)","A-Level ( Batxillerat)",,"5","1","2","4","3","5","5",,"2","5","1","3",,"5","5","5","5","5","College (Universitat)","Completely agree ( completament d'acord)",
"Parent Guardian,Staff Member Teachers ( Members del personal/professors)","Catalunya",,"£25,000 - £50,000 ( €25,000 - €50,000)","Bachelor's Degree (Títol universitari)",,"3","2","5","1","2","4","4",,"3","5","1","3",,"3","4","4","5","5","College (Universitat)","Completely agree ( completament d'acord)",
"Staff Member Teachers ( Members del personal/professors)","Catalunya",,"More than £50,000 ( Més de €50,000)","Bachelor's Degree (Títol universitari)",,"3","2","3","3","3","3","3",,"2","4","2","2",,"3","3","3","3","3","College (Universitat)","Neither agree not disagree ( indiferent)",
"Student ( More 18 years old ) ( Studiants major d'edat)","Catalunya",,"Less than £25,000 ( Menys de €25,000)","A-Level ( Batxillerat)",,"4","4","5","4",,"4","4",,"4","5","4","4",,"4","3","4","3","4","KS5 (A-Level) ( Batxillerat),College (Universitat)","Completely agree ( completament d'acord)",
"Parent Guardian ( Pares/ tutors)","Catalunya",,"More than £50,000 ( Més de €50,000)","Master's Degree ( Grau en Màster)",,"4","5","4","5","5","5","5",,"4","4","4","4",,"4","4","5","5","5","KS4 (ESO),KS5 (A-Level) ( Batxillerat),College (Universitat)","Completely agree ( completament d'acord)",
"Parent Guardian ( Pares/ tutors)","Catalunya",,"More than £50,000 ( Més de €50,000)","Master's Degree ( Grau en Màster)",,"4","5","5","5","5","5","5",,"4","3","4","3",,"3","3","4","4","4","KS3 ( ESO),KS4 (ESO),KS5 (A-Level) ( Batxillerat),College (Universitat)","Completely agree ( completament d'acord)",
"Parent Guardian,Staff Member Teachers ( Members del personal/professors)","Catalunya",,"£25,000 - £50,000 ( €25,000 - €50,000)","Bachelor's Degree (Títol universitari)",,"4","3","4","5","4","4","4",,"3","3","3","3",,"3","3","3","3","3","KS5 (A-Level) ( Batxillerat),College (Universitat)","Somewhat agree ( bastant a favor)",
"Staff Member Teachers ( Members del personal/professors)","Catalunya",,"£25,000 - £50,000 ( €25,000 - €50,000)","Bachelor's Degree (Títol universitari)",,"4","4","5","4","5","5","5",,"4","4","5","4",,"4","4","4","4","5","KS4 (ESO),KS5 (A-Level) ( Batxillerat),College (Universitat)","Completely agree ( completament d'acord)",
"Parent Guardian ( Pares/ tutors)","Catalunya",,"£25,000 - £50,000 ( €25,000 - €50,000)","Bachelor's Degree (Títol universitari)",,"4","3","3","4","3","2","2",,"2","1","1","1",,"2","2","3","2","3","College (Universitat)","Neither agree not disagree ( indiferent)",
"Student ( More 18 years old ) ( Studiants major d'edat)","Catalunya",,"Less than £25,000 ( Menys de €25,000)","College ( Grau mitjà)",,"5","5","5","5","5","5","5",,"4","3","4","4",,"4","4","3","3","3","KS5 (A-Level) ( Batxillerat),College (Universitat)","Completely agree ( completament d'acord)",
"Parent Guardian ( Pares/ tutors)","Catalunya",,"£25,000 - £50,000 ( €25,000 - €50,000)","College ( Grau mitjà)",,"3","4","3","4","4","3","3",,"3","4","3","3",,"3","4","4","3","3","College (Universitat)","Neither agree not disagree ( indiferent)",
"Parent Guardian ( Pares/ tutors)","Catalunya",,"£25,000 - £50,000 ( €25,000 - €50,000)","Bachelor's Degree (Títol universitari)",,"4","3","4","3","3","4","3",,"4","3","3","4",,"3","3","3","4","4","KS5 (A-Level) ( Batxillerat),College (Universitat)","Somewhat agree ( bastant a favor)",
"Parent Guardian ( Pares/ tutors)","Catalunya",,"More than £50,000 ( Més de €50,000)","Master's Degree ( Grau en Màster)",,"4","4","5","4","4","5","4",,"4","2","2","2",,"4","3","4","4","3","KS5 (A-Level) ( Batxillerat),College (Universitat)","Somewhat agree ( bastant a favor)",
"Parent Guardian ( Pares/ tutors)","Catalunya",,"Less than £25,000 ( Menys de €25,000)","A-Level ( Batxillerat)",,"5","1","5","5","5","5","5",,"5","5","5","5",,"5","5","5","5","5","KS3 ( ESO),KS4 (ESO),KS5 (A-Level) ( Batxillerat),College (Universitat)","Completely agree ( completament d'acord)",
"Student ( More 18 years old ) ( Studiants major d'edat)","Catalunya",,"£25,000 - £50,000 ( €25,000 - €50,000)","A-Level ( Batxillerat)",,"4","1","4","3","5","5","5",,"3","3","3","3",,"3","2","3","3","2","KS5 (A-Level) ( Batxillerat)","Completely agree ( completament d'acord)",
"Student ( More 18 years old ) ( Studiants major d'edat)","Catalunya",,"Less than £25,000 ( Menys de €25,000)","A-Level ( Batxillerat)",,"5","4","5","4","5","5","4",,"4","4","4","4",,"4","3","4","4","4","KS4 (ESO),KS5 (A-Level) ( Batxillerat),College (Universitat)","Somewhat agree ( bastant a favor)",
"Parent Guardian ( Pares/ tutors)","Catalunya",,"More than £50,000 ( Més de €50,000)","Bachelor's Degree (Títol universitari)",,"4","5","4","4","5","5","4",,"4","4","4","5",,"4","3","2","4","4","KS4 (ESO),KS5 (A-Level) ( Batxillerat),College (Universitat)","Somewhat agree ( bastant a favor)",
"Parent Guardian ( Pares/ tutors)","Catalunya",,"Prefer not to say ( prefereixo no dir-ho)","A-Level ( Batxillerat)",,"3","2","3","2","2","2","2",,"3","2","3","2",,"3","3","4","3","3","College (Universitat)","Somewhat disagree ( una mica en desacord)",
"Staff Member Teachers ( Members del personal/professors)","Catalunya",,"More than £50,000 ( Més de €50,000)","Prefer not to say ( prefereixo no dir-ho)",,"3","1","3","1","3","3","3",,"4","4","1","1",,"5","5","5","5","1","KS3 ( ESO),KS4 (ESO),KS5 (A-Level) ( Batxillerat),College (Universitat)","Somewhat agree ( bastant a favor)",
"Parent Guardian ( Pares/ tutors)","Pais Valencia",,"Less than £25,000 ( Menys de €25,000)","GCSE (ESO)",,"3","1","4",,"5","4","5",,"5","4","5","5",,"5","5",,,,,"Neither agree not disagree ( indiferent)",
"Parent Guardian ( Pares/ tutors)","Pais Valencia",,"£25,000 - £50,000 ( €25,000 - €50,000)","GCSE (ESO)",,"1","5","5","3","3","3","3",,"1","3","1","1",,"5","5","3","4","3","College (Universitat)","Completely disagree ( completament en contra)",
"Parent Guardian ( Pares/ tutors)","Catalunya",,"Less than £25,000 ( Menys de €25,000)","Bachelor's Degree (Títol universitari)",,"5","1","3","1","1","2","2",,"2","2","1","1",,"1","1","1","1","3","KS5 (A-Level) ( Batxillerat)","Completely disagree ( completament en contra)",
"Parent Guardian ( Pares/ tutors)","Catalunya",,"More than £50,000 ( Més de €50,000)","Master's Degree ( Grau en Màster)",,"3","3","2","4","4","3","4",,"4","5","3","4",,"4","4","3","4","3","KS3 ( ESO),KS4 (ESO)","Neither agree not disagree ( indiferent)",
"Parent Guardian,Staff Member Teachers ( Members del personal/professors)","Catalunya",,"£25,000 - £50,000 ( €25,000 - €50,000)","Bachelor's Degree (Títol universitari)",,"5","1","3","3","4","3","4",,"3","4","3","3",,"4","3","4","4","3","KS5 (A-Level) ( Batxillerat)","Somewhat agree ( bastant a favor)",
"Parent Guardian ( Pares/ tutors)","Catalunya",,"£25,000 - £50,000 ( €25,000 - €50,000)","A-Level ( Batxillerat)",,"2","1","2","1","2","2","2",,"2","2","2","2",,"3","3","3","3","3","KS5 (A-Level) ( Batxillerat),College (Universitat)","Somewhat disagree ( una mica en desacord)",
"Parent Guardian ( Pares/ tutors)","Catalunya",,"More than £50,000 ( Més de €50,000)","Bachelor's Degree (Títol universitari)",,"3","1","4","2","4","2","3",,"4","5","2","1",,"5","5","3","3","3","KS5 (A-Level) ( Batxillerat),College (Universitat)","Completely disagree ( completament en contra)",
"Staff Member Teachers ( Members del personal/professors)","Catalunya",,"£25,000 - £50,000 ( €25,000 - €50,000)","Bachelor's Degree (Títol universitari)",,"3","3","5","3","3","3","3",,"3","1","1","1",,"5","5","3","4","5","KS5 (A-Level) ( Batxillerat)","Completely agree ( completament d'acord)",
"Parent Guardian ( Pares/ tutors)","Catalunya",,"More than £50,000 ( Més de €50,000)","Bachelor's Degree (Títol universitari)",,"1","1","3","1","3","3","2",,"3","3","2","2",,"3","4","2","4","3","KS5 (A-Level) ( Batxillerat),College (Universitat)","Completely disagree ( completament en contra)",
"Parent Guardian ( Pares/ tutors)","Catalunya",,"£25,000 - £50,000 ( €25,000 - €50,000)","College ( Grau mitjà)",,"3","2","5","2","5","2","3",,"5","3","1","1",,"5","5","2","4","3","KS5 (A-Level) ( Batxillerat)","Neither agree not disagree ( indiferent)",
"Parent Guardian ( Pares/ tutors)","Catalunya",,"£25,000 - £50,000 ( €25,000 - €50,000)","Bachelor's Degree (Títol universitari)",,"1","2","2","2","1","1","2",,"1","2","1","1",,"2","2","2","2","2","College (Universitat)","Somewhat disagree ( una mica en desacord)",
"Parent Guardian ( Pares/ tutors)","Catalunya",,"£25,000 - £50,000 ( €25,000 - €50,000)","College ( Grau mitjà)",,,,,,,,,,,,,,,,,,,,,,
"Parent Guardian ( Pares/ tutors)","Catalunya",,"Less than £25,000 ( Menys de €25,000)","GCSE (ESO)",,"2","2","2","1","1","1","1",,"2","1","2","1",,"2","4","4",,"2",,"Completely disagree ( completament en contra)",
"Parent Guardian ( Pares/ tutors)","Catalunya",,"More than £50,000 ( Més de €50,000)","Bachelor's Degree (Títol universitari)",,"4","4","5","4","4","5","4",,"4","3","2","2",,"4","5","5","4","3","KS5 (A-Level) ( Batxillerat),College (Universitat)","Somewhat agree ( bastant a favor)",
"Student ( More 18 years old ) ( Studiants major d'edat)","Catalunya",,"Less than £25,000 ( Menys de €25,000)","A-Level ( Batxillerat)",,"5","5","5","5","5","5","5",,"4","4","4","4",,"4","4","4","5","4","KS3 ( ESO),KS4 (ESO),KS5 (A-Level) ( Batxillerat),College (Universitat)","Completely agree ( completament d'acord)",
"Student ( More 18 years old ) ( Studiants major d'edat)","Catalunya",,"Less than £25,000 ( Menys de €25,000)","College ( Grau mitjà)",,"4","4","3","4","4","4","4",,"4","4","4","4",,"4","4","4","4","4","KS5 (A-Level) ( Batxillerat),College (Universitat)","Somewhat agree ( bastant a favor)",
"Parent Guardian,Staff Member Teachers ( Members del personal/professors)","Catalunya",,"£25,000 - £50,000 ( €25,000 - €50,000)","Bachelor's Degree (Títol universitari)",,"5","5","5","5","3","3","4",,"4","5","5","5",,"4","4","5","5","5","KS3 ( ESO),KS4 (ESO),KS5 (A-Level) ( Batxillerat),College (Universitat)","Completely agree ( completament d'acord)",
"Parent Guardian,Staff Member Teachers ( Members del personal/professors)","England ( Anglaterra)",,"£25,000 - £50,000 ( €25,000 - €50,000)","Bachelor's Degree (Títol universitari)",,"4","5","5","3","3","3","4",,"4","4","5","4",,"4","4","4","4","4","KS3 ( ESO),KS4 (ESO),KS5 (A-Level) ( Batxillerat),College (Universitat)","Completely agree ( completament d'acord)",
"Staff Member Teachers ( Members del personal/professors)","Pais Valencia",,"£25,000 - £50,000 ( €25,000 - €50,000)","Bachelor's Degree (Títol universitari)",,"3","1","3","3","3","1","3",,"3","3","1","1",,"5","5","5","5","1","KS3 ( ESO),KS4 (ESO),KS5 (A-Level) ( Batxillerat),College (Universitat)","Completely agree ( completament d'acord)",
"Parent Guardian ( Pares/ tutors)","Catalunya",,"£25,000 - £50,000 ( €25,000 - €50,000)","College ( Grau mitjà)",,"3","4","4","5","4","4","3",,"4","3","4","4",,"3","4","4","3","3","KS5 (A-Level) ( Batxillerat),College (Universitat)","Neither agree not disagree ( indiferent)",
"Parent Guardian ( Pares/ tutors)","Catalunya",,"£25,000 - £50,000 ( €25,000 - €50,000)","Master's Degree ( Grau en Màster)",,"4","4","5","4","4","5","4",,"4","5","5","5",,"4","5","5","5","5","KS3 ( ESO),KS4 (ESO),KS5 (A-Level) ( Batxillerat),College (Universitat)","Completely agree ( completament d'acord)",
"Staff Member Teachers ( Members del personal/professors)","Catalunya",,"£25,000 - £50,000 ( €25,000 - €50,000)","Bachelor's Degree (Títol universitari)",,"5","4","4","3","3","5","4",,"4","4","4","5",,"5","5","5","5","5","KS4 (ESO),KS5 (A-Level) ( Batxillerat),College (Universitat)","Somewhat agree ( bastant a favor)",
"Student ( More 18 years old ) ( Studiants major d'edat)","Catalunya",,"Less than £25,000 ( Menys de €25,000)","A-Level ( Batxillerat)",,"5","5","5","5","5","5","5",,"5","4","5","5",,"5","4","4","4","4","KS3 ( ESO),KS4 (ESO),KS5 (A-Level) ( Batxillerat),College (Universitat)","Completely agree ( completament d'acord)",
"Community Member ( Membres de la comunitat)","Catalunya",,"£25,000 - £50,000 ( €25,000 - €50,000)","Bachelor's Degree (Títol universitari)",,"3","3","3","3","2","2","3",,"4","4","4","4",,"4","4","5","5","5","College (Universitat)","Somewhat disagree ( una mica en desacord)",
